film_id,title,description,language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features
89,Borrowers bedazzled,A brilliant epistle of a teacher and a sumo wrestler who must defeat a man in an abandoned fun house,1,7,0.99,63,22.99,G,"Commentaries,deleted scenes,behind the scenes"
90,Boulevard mob,A fateful epistle of a moose and a monkey who must confront a lumberjack in ancient china,1,3,0.99,63,11.99,R,Trailers
91,Bound cheaper,A thrilling panorama of a database administrator and a astronaut who must challenge a lumberjack in a baloon,1,5,0.99,98,17.99,PG,Behind the scenes
92,Bowfinger gables,A fast-paced yarn of a waitress and a composer who must outgun a dentist in california,1,7,4.99,72,19.99,NC-17,"Trailers,deleted scenes"
93,Brannigan sunrise,A amazing epistle of a moose and a crocodile who must outrace a dog in berlin,1,4,4.99,121,27.99,PG,Trailers
94,Braveheart human,A insightful story of a dog and a pastry chef who must battle a girl in berlin,1,7,2.99,176,14.99,PG-13,"Trailers,deleted scenes"
95,Breakfast goldfinger,A beautiful reflection of a student and a student who must fight a moose in berlin,1,5,4.99,123,18.99,G,"Trailers,commentaries,deleted scenes"
96,Breaking home,A beautiful display of a secret agent and a monkey who must battle a sumo wrestler in an abandoned mine shaft,1,4,2.99,169,21.99,PG-13,"Trailers,commentaries"
97,Bride intrigue,A epic tale of a robot and a monkey who must vanquish a man in new orleans,1,7,0.99,56,24.99,G,"Trailers,commentaries,behind the scenes"
98,Bright encounters,A fateful yarn of a lumberjack and a feminist who must conquer a student in a jet boat,1,4,4.99,73,12.99,PG-13,Trailers
99,Bringing hysterical,A fateful saga of a a shark and a technical writer who must find a woman in a jet boat,1,7,2.99,136,14.99,PG,Trailers
100,Brooklyn desert,A beautiful drama of a dentist and a composer who must battle a sumo wrestler in the first manned space station,1,7,4.99,161,21.99,R,Commentaries
101,Brotherhood blanket,A fateful character study of a butler and a technical writer who must sink a astronaut in ancient japan,1,3,0.99,73,26.99,R,Behind the scenes
102,Bubble grosse,A awe-inspiring panorama of a crocodile and a moose who must confront a girl in a baloon,1,4,4.99,60,20.99,R,"Trailers,commentaries,deleted scenes,behind the scenes"
103,Bucket brotherhood,A amazing display of a girl and a womanizer who must succumb a lumberjack in a baloon factory,1,7,4.99,133,27.99,PG,"Commentaries,deleted scenes"
104,Bugsy song,A awe-inspiring character study of a secret agent and a boat who must find a squirrel in the first manned space station,1,4,2.99,119,17.99,G,Commentaries
105,Bull shawshank,A fanciful drama of a moose and a squirrel who must conquer a pioneer in the canadian rockies,1,6,0.99,125,21.99,NC-17,Deleted scenes
106,Bulworth commandments,A amazing display of a mad cow and a pioneer who must redeem a sumo wrestler in the outback,1,4,2.99,61,14.99,G,Trailers
107,Bunch minds,A emotional story of a feminist and a feminist who must escape a pastry chef in a mysql convention,1,4,2.99,63,13.99,G,Behind the scenes
108,Butch panther,A lacklusture yarn of a feminist and a database administrator who must face a hunter in new orleans,1,6,0.99,67,19.99,PG-13,"Trailers,commentaries,deleted scenes"
109,Butterfly chocolat,A fateful story of a girl and a composer who must conquer a husband in a shark tank,1,3,0.99,89,17.99,G,Behind the scenes
110,Cabin flash,A stunning epistle of a boat and a man who must challenge a a shark in a baloon factory,1,4,0.99,53,25.99,NC-17,"Commentaries,deleted scenes"
111,Caddyshack jedi,A awe-inspiring epistle of a woman and a madman who must fight a robot in soviet georgia,1,3,0.99,52,17.99,NC-17,"Commentaries,deleted scenes"
112,Calendar gunfight,A thrilling drama of a frisbee and a lumberjack who must sink a man in nigeria,1,4,4.99,120,22.99,NC-17,"Trailers,commentaries,behind the scenes"
113,California birds,A thrilling yarn of a database administrator and a robot who must battle a database administrator in ancient india,1,4,4.99,75,19.99,NC-17,"Trailers,commentaries,deleted scenes"
114,Camelot vacation,A touching character study of a woman and a waitress who must battle a pastry chef in a mysql convention,1,3,0.99,61,26.99,NC-17,"Trailers,commentaries,deleted scenes,behind the scenes"
115,Campus remember,A astounding drama of a crocodile and a mad cow who must build a robot in a jet boat,1,5,2.99,167,27.99,R,Behind the scenes
116,Candidate perdition,A brilliant epistle of a composer and a database administrator who must vanquish a mad scientist in the first manned space station,1,4,2.99,70,10.99,R,"Deleted scenes,behind the scenes"
117,Candles grapes,A fanciful character study of a monkey and a explorer who must build a astronaut in an abandoned fun house,1,6,4.99,135,15.99,NC-17,"Trailers,deleted scenes"
118,Canyon stock,A thoughtful reflection of a waitress and a feminist who must escape a squirrel in a manhattan penthouse,1,7,0.99,85,26.99,R,"Trailers,deleted scenes"
119,Caper motions,A fateful saga of a moose and a car who must pursue a woman in a mysql convention,1,6,0.99,176,22.99,G,"Trailers,commentaries,deleted scenes"
120,Caribbean liberty,A fanciful tale of a pioneer and a technical writer who must outgun a pioneer in a shark tank,1,3,4.99,92,16.99,NC-17,"Commentaries,deleted scenes"
121,Carol texas,A astounding character study of a composer and a student who must overcome a composer in a monastery,1,4,2.99,151,15.99,PG,"Trailers,behind the scenes"
122,Carrie bunch,A amazing epistle of a student and a astronaut who must discover a frisbee in the canadian rockies,1,7,0.99,114,11.99,PG,"Trailers,commentaries,behind the scenes"
123,Casablanca super,A amazing panorama of a crocodile and a forensic psychologist who must pursue a secret agent in the first manned space station,1,6,4.99,85,22.99,G,"Trailers,deleted scenes,behind the scenes"
124,Casper dragonfly,A intrepid documentary of a boat and a crocodile who must chase a robot in the sahara desert,1,3,4.99,163,16.99,PG-13,Trailers
125,Cassidy wyoming,A intrepid drama of a frisbee and a hunter who must kill a secret agent in new orleans,1,5,2.99,61,19.99,NC-17,"Commentaries,behind the scenes"
126,Casualties encino,A insightful yarn of a a shark and a pastry chef who must face a boy in a monastery,1,3,4.99,179,16.99,G,Trailers
127,Cat coneheads,A fast-paced panorama of a girl and a a shark who must confront a boy in ancient india,1,5,4.99,112,14.99,G,"Commentaries,deleted scenes"
128,Catch amistad,A boring reflection of a lumberjack and a feminist who must discover a woman in nigeria,1,7,0.99,183,10.99,G,"Trailers,behind the scenes"
129,Cause date,A taut tale of a explorer and a pastry chef who must conquer a hunter in a mysql convention,1,3,2.99,179,16.99,R,"Commentaries,deleted scenes,behind the scenes"
130,Celebrity horn,A amazing documentary of a secret agent and a astronaut who must vanquish a hunter in a shark tank,1,7,0.99,110,24.99,PG-13,"Deleted scenes,behind the scenes"
131,Center dinosaur,A beautiful character study of a sumo wrestler and a dentist who must find a dog in california,1,5,4.99,152,12.99,PG,Deleted scenes
132,Chainsaw uptown,A beautiful documentary of a boy and a robot who must discover a squirrel in australia,1,6,0.99,114,25.99,PG,"Deleted scenes,behind the scenes"
133,Chamber italian,A fateful reflection of a moose and a husband who must overcome a monkey in nigeria,1,7,4.99,117,14.99,NC-17,Trailers
134,Champion flatliners,A amazing story of a mad cow and a dog who must kill a husband in a monastery,1,4,4.99,51,21.99,PG,Trailers
135,Chance resurrection,A astounding story of a forensic psychologist and a forensic psychologist who must overcome a moose in ancient china,1,3,2.99,70,22.99,R,"Commentaries,deleted scenes,behind the scenes"
136,Chaplin license,A boring drama of a dog and a forensic psychologist who must outrace a explorer in ancient india,1,7,2.99,146,26.99,NC-17,Behind the scenes
137,Charade duffel,A action-packed display of a man and a waitress who must build a dog in a mysql convention,1,3,2.99,66,21.99,PG,"Trailers,deleted scenes,behind the scenes"
138,Chariots conspiracy,A unbelieveable epistle of a robot and a husband who must chase a robot in the first manned space station,1,5,2.99,71,29.99,R,"Deleted scenes,behind the scenes"
139,Chasing fight,A astounding saga of a technical writer and a butler who must battle a butler in a shark tank,1,7,4.99,114,21.99,PG,"Trailers,commentaries"
140,Cheaper clyde,A emotional character study of a pioneer and a girl who must discover a dog in ancient japan,1,6,0.99,87,23.99,G,"Trailers,commentaries,behind the scenes"
141,Chicago north,A fateful yarn of a mad cow and a waitress who must battle a student in california,1,6,4.99,185,11.99,PG-13,"Deleted scenes,behind the scenes"
142,Chicken hellfighters,A emotional drama of a dog and a explorer who must outrace a technical writer in australia,1,3,0.99,122,24.99,PG,"Trailers,commentaries,deleted scenes,behind the scenes"
143,Chill luck,A lacklusture epistle of a boat and a technical writer who must fight a a shark in the canadian rockies,1,6,0.99,142,17.99,PG,"Trailers,commentaries,deleted scenes"
144,Chinatown gladiator,A brilliant panorama of a technical writer and a lumberjack who must escape a butler in ancient india,1,7,4.99,61,24.99,PG,"Trailers,commentaries,deleted scenes"
145,Chisum behavior,A epic documentary of a sumo wrestler and a butler who must kill a car in ancient india,1,5,4.99,124,25.99,G,"Trailers,commentaries,behind the scenes"
146,Chitty lock,A boring epistle of a boat and a database administrator who must kill a sumo wrestler in the first manned space station,1,6,2.99,107,24.99,G,Commentaries
147,Chocolat harry,A action-packed epistle of a dentist and a moose who must meet a mad cow in ancient japan,1,5,0.99,101,16.99,NC-17,"Commentaries,behind the scenes"
148,Chocolate duck,A unbelieveable story of a mad scientist and a technical writer who must discover a composer in ancient china,1,3,2.99,132,13.99,R,"Trailers,commentaries,behind the scenes"
149,Christmas moonshine,A action-packed epistle of a feminist and a astronaut who must conquer a boat in a manhattan penthouse,1,7,0.99,150,21.99,NC-17,"Trailers,commentaries,behind the scenes"
150,Cider desire,A stunning character study of a composer and a mad cow who must succumb a cat in soviet georgia,1,7,2.99,101,9.99,PG,Behind the scenes
151,Cincinatti whisperer,A brilliant saga of a pastry chef and a hunter who must confront a butler in berlin,1,5,4.99,143,26.99,NC-17,Deleted scenes
152,Circus youth,A thoughtful drama of a pastry chef and a dentist who must pursue a girl in a baloon,1,5,2.99,90,13.99,PG-13,"Trailers,deleted scenes,behind the scenes"
153,Citizen shrek,A fanciful character study of a technical writer and a husband who must redeem a robot in the outback,1,7,0.99,165,18.99,G,"Commentaries,deleted scenes"
154,Clash freddy,A amazing yarn of a composer and a squirrel who must escape a astronaut in australia,1,6,2.99,81,12.99,G,"Commentaries,deleted scenes"
155,Cleopatra devil,A fanciful documentary of a crocodile and a technical writer who must fight a a shark in a baloon,1,6,0.99,150,26.99,PG-13,"Trailers,deleted scenes,behind the scenes"
156,Clerks angels,A thrilling display of a sumo wrestler and a girl who must confront a man in a baloon,1,3,4.99,164,15.99,G,Commentaries
157,Clockwork paradise,A insightful documentary of a technical writer and a feminist who must challenge a cat in a baloon,1,7,0.99,143,29.99,PG-13,"Trailers,commentaries,deleted scenes,behind the scenes"
158,Clones pinocchio,A amazing drama of a car and a robot who must pursue a dentist in new orleans,1,6,2.99,124,16.99,R,Behind the scenes
159,Closer bang,A unbelieveable panorama of a frisbee and a hunter who must vanquish a monkey in ancient india,1,5,4.99,58,12.99,R,"Trailers,behind the scenes"
160,Club graffiti,A epic tale of a pioneer and a hunter who must escape a girl in a u-boat,1,4,0.99,65,12.99,PG-13,"Trailers,deleted scenes"
161,Clue grail,A taut tale of a butler and a mad scientist who must build a crocodile in ancient china,1,6,4.99,70,27.99,NC-17,"Trailers,commentaries,behind the scenes"
162,Clueless bucket,A taut tale of a car and a pioneer who must conquer a sumo wrestler in an abandoned fun house,1,4,2.99,95,13.99,R,"Trailers,deleted scenes,behind the scenes"
163,Clyde theory,A beautiful yarn of a astronaut and a frisbee who must overcome a explorer in a jet boat,1,4,0.99,139,29.99,PG-13,"Commentaries,deleted scenes,behind the scenes"
164,Coast rainbow,A astounding documentary of a mad cow and a pioneer who must challenge a butler in the sahara desert,1,4,0.99,55,20.99,PG,"Trailers,commentaries,deleted scenes,behind the scenes"
165,Coldblooded darling,A brilliant panorama of a dentist and a moose who must find a student in the gulf of mexico,1,7,4.99,70,27.99,G,"Trailers,deleted scenes"
166,Color philadelphia,A thoughtful panorama of a car and a crocodile who must sink a monkey in the sahara desert,1,6,2.99,149,19.99,G,"Commentaries,behind the scenes"
167,Coma head,A awe-inspiring drama of a boy and a frisbee who must escape a pastry chef in california,1,6,4.99,109,10.99,NC-17,Commentaries
168,Comancheros enemy,A boring saga of a lumberjack and a monkey who must find a monkey in the gulf of mexico,1,5,0.99,67,23.99,R,"Trailers,behind the scenes"
169,Comforts rush,A unbelieveable panorama of a pioneer and a husband who must meet a mad cow in an abandoned mine shaft,1,3,2.99,76,19.99,NC-17,"Commentaries,behind the scenes"
170,Command darling,A awe-inspiring tale of a forensic psychologist and a woman who must challenge a database administrator in ancient japan,1,5,4.99,120,28.99,PG-13,Behind the scenes
171,Commandments express,A fanciful saga of a student and a mad scientist who must battle a hunter in an abandoned mine shaft,1,6,4.99,59,13.99,R,"Trailers,commentaries,deleted scenes"
172,Coneheads smoochy,A touching story of a womanizer and a composer who must pursue a husband in nigeria,1,7,4.99,112,12.99,NC-17,"Deleted scenes,behind the scenes"
173,Confessions maguire,A insightful story of a car and a boy who must battle a technical writer in a baloon,1,7,4.99,65,25.99,PG-13,Behind the scenes
174,Confidential interview,A stunning reflection of a cat and a woman who must find a astronaut in ancient japan,1,6,4.99,180,13.99,NC-17,Commentaries
175,Confused candles,A stunning epistle of a cat and a forensic psychologist who must confront a pioneer in a baloon,1,3,2.99,122,27.99,PG-13,"Trailers,commentaries,deleted scenes,behind the scenes"
176,Congeniality quest,A touching documentary of a cat and a pastry chef who must find a lumberjack in a baloon,1,6,0.99,87,21.99,PG-13,"Commentaries,behind the scenes"
177,Connecticut tramp,A unbelieveable drama of a crocodile and a mad cow who must reach a dentist in a shark tank,1,4,4.99,172,20.99,R,"Commentaries,deleted scenes"
178,Connection microcosmos,A fateful documentary of a crocodile and a husband who must face a husband in the first manned space station,1,6,0.99,115,25.99,G,"Deleted scenes,behind the scenes"
179,Conquerer nuts,A taut drama of a mad scientist and a man who must escape a pioneer in an abandoned mine shaft,1,4,4.99,173,14.99,G,"Commentaries,deleted scenes,behind the scenes"
180,Conspiracy spirit,A awe-inspiring story of a student and a frisbee who must conquer a crocodile in an abandoned mine shaft,1,4,2.99,184,27.99,PG-13,"Trailers,commentaries"
181,Contact anonymous,A insightful display of a a shark and a monkey who must face a database administrator in ancient india,1,7,2.99,166,10.99,PG-13,Commentaries
182,Control anthem,A fateful documentary of a robot and a student who must battle a cat in a monastery,1,7,4.99,185,9.99,G,Commentaries
183,Conversation downhill,A taut character study of a husband and a waitress who must sink a squirrel in a mysql convention,1,4,4.99,112,14.99,R,Commentaries
184,Core suit,A unbelieveable tale of a car and a explorer who must confront a boat in a manhattan penthouse,1,3,2.99,92,24.99,PG-13,Deleted scenes
185,Cowboy doom,A astounding drama of a boy and a lumberjack who must fight a butler in a baloon,1,3,2.99,146,10.99,PG,"Commentaries,deleted scenes,behind the scenes"
186,Craft outfield,A lacklusture display of a explorer and a hunter who must succumb a database administrator in a baloon factory,1,6,0.99,64,17.99,NC-17,"Deleted scenes,behind the scenes"
